Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degF) ,SNWD.I-1 (in) 
842,1/1/19,9:00,7.2,9.4,13,21
842,1/2/19,9:00,7.2,9.4,21,27
842,1/3/19,9:00,7.2,9.5,28,24
842,1/4/19,9:00,7.3,9.6,40,20
842,1/5/19,9:00,7.3,9.6,40,27
842,1/6/19,9:00,7.4,9.7,28,28
842,1/7/19,9:00,7.7,9.7,19,31
842,1/8/19,9:00,8.1,9.9,26,31
842,1/9/19,9:00,8.2,9.9,38,30
842,1/10/19,9:00,8.2,9.9,36,30
842,1/11/19,9:00,8.4,10.1,24,32
842,1/12/19,9:00,8.4,10.1,21,32
842,1/13/19,9:00,8.4,10.1,25,32
842,1/14/19,9:00,8.4,10.2,27,30
842,1/15/19,9:00,8.4,10.2,25,32
842,1/16/19,9:00,8.6,10.4,26,34
842,1/17/19,9:00,8.9,10.6,30,35
842,1/18/19,9:00,9.4,11.1,20,40
842,1/19/19,9:00,9.7,11.3,21,41
842,1/20/19,9:00,9.8,11.4,33,39
842,1/21/19,9:00,9.8,11.5,31,39
842,1/22/19,9:00,10,11.6,9,41
842,1/23/19,9:00,10,11.6,11,41
842,1/24/19,9:00,10.4,12,14,47
842,1/25/19,9:00,10.9,12.2,16,48
842,1/26/19,9:00,10.9,12.2,16,46
842,1/27/19,9:00,10.9,12.3,21,44
842,1/28/19,9:00,11,12.3,15,44
842,1/29/19,9:00,11,12.2,17,42
842,1/30/19,9:00,11,12.2,22,40
842,1/31/19,9:00,11,12.3,26,40
842,2/1/19,9:00,11,12.3,34,39
842,2/2/19,9:00,11,12.3,32,39
842,2/3/19,9:00,11.1,12.4,35,40
842,2/4/19,9:00,11.3,12.5,29,41
842,2/5/19,9:00,11.7,12.8,24,45
842,2/6/19,9:00,12,13.1,16,48
842,2/7/19,9:00,12.3,13.2,3,49
842,2/8/19,9:00,12.4,13.3,23,47
842,2/9/19,9:00,12.5,13.4,26,46
842,2/10/19,9:00,12.5,13.5,25,44
842,2/11/19,9:00,12.6,13.5,11,45
842,2/12/19,9:00,12.6,13.4,20,44
842,2/13/19,9:00,12.7,13.5,30,44
842,2/14/19,9:00,13.2,14,27,47
842,2/15/19,9:00,13.7,14.3,26,47
842,2/16/19,9:00,13.9,14.5,14,53
842,2/17/19,9:00,14,14.5,16,51
842,2/18/19,9:00,14,14.6,15,49
842,2/19/19,9:00,14.2,14.7,13,50
842,2/20/19,9:00,14.3,14.7,4,50
842,2/21/19,9:00,14.4,14.8,18,49
842,2/22/19,9:00,14.5,14.9,25,49
842,2/23/19,9:00,14.6,15,13,50
842,2/24/19,9:00,14.6,15.1,19,49
842,2/25/19,9:00,14.6,15.1,30,47
842,2/26/19,9:00,14.6,15.2,31,49
842,2/27/19,9:00,14.7,15.2,36,48
842,2/28/19,9:00,14.8,15.2,32,49
842,3/1/19,9:00,15,15.4,25,52
842,3/2/19,9:00,15.3,15.6,28,53
842,3/3/19,9:00,16.6,16.8,24,63
842,3/4/19,9:00,17.1,17.3,26,66
842,3/5/19,9:00,17.1,17.4,29,63
842,3/6/19,9:00,17.3,17.5,33,63
842,3/7/19,9:00,18.6,18.5,28,70
842,3/8/19,9:00,18.8,18.6,29,67
842,3/9/19,9:00,19.4,19.2,21,74
842,3/10/19,9:00,19.5,19.2,30,70
842,3/11/19,9:00,19.5,19.3,35,69
842,3/12/19,9:00,19.7,19.4,35,69
842,3/13/19,9:00,20.3,19.7,24,71
842,3/14/19,9:00,20.5,19.9,15,72
842,3/15/19,9:00,20.6,20.1,22,69
842,3/16/19,9:00,20.6,20.1,32,68
842,3/17/19,9:00,20.4,20.1,35,66
842,3/18/19,9:00,20.4,20.1,37,65
842,3/19/19,9:00,20.3,20.1,27,64
842,3/20/19,9:00,20,20.1,37,62
842,3/21/19,9:00,20.4,20.1,36,63
842,3/22/19,9:00,20.5,20.2,30,63
842,3/23/19,9:00,20.5,20.2,25,63
842,3/24/19,9:00,20.5,20.2,38,61
842,3/25/19,9:00,20.7,20.4,29,63
842,3/26/19,9:00,20.5,20.4,44,60
842,3/27/19,9:00,20.7,20.4,47,60
842,3/28/19,9:00,20.7,20.4,46,57
842,3/29/19,9:00,20.4,20.4,25,57
842,3/30/19,9:00,20.4,20.5,27,58
842,3/31/19,9:00,20,20.5,31,56
842,4/1/19,9:00,19.9,20.5,30,55
842,4/2/19,9:00,20.3,20.6,35,56
842,4/3/19,9:00,20.5,20.6,34,55
842,4/4/19,9:00,20.6,20.7,37,55
842,4/5/19,9:00,20.7,20.8,41,54
842,4/6/19,9:00,20.5,20.8,42,53
842,4/7/19,9:00,20.3,20.8,39,53
842,4/8/19,9:00,20.2,20.8,42,51
842,4/9/19,9:00,19.9,20.8,50,49
842,4/10/19,9:00,20,21.2,26,55
842,4/11/19,9:00,20.4,21.6,18,57
842,4/12/19,9:00,20.6,21.8,25,55
842,4/13/19,9:00,20.6,21.9,26,53
842,4/14/19,9:00,20.8,22,33,53
842,4/15/19,9:00,20.8,22,45,51
842,4/16/19,9:00,20.7,22,44,48
842,4/17/19,9:00,20.5,22.1,38,48
842,4/18/19,9:00,20.3,22.1,33,50
842,4/19/19,9:00,20.4,22.1,46,48
842,4/20/19,9:00,20.1,22.2,52,46
842,4/21/19,9:00,19.4,22.2,42,45
842,4/22/19,9:00,19.4,22.2,49,44
842,4/23/19,9:00,18.9,22.2,45,42
842,4/24/19,9:00,18.1,22.3,42,40
842,4/25/19,9:00,17.5,22.3,45,39
842,4/26/19,9:00,16.6,22.3,43,38
842,4/27/19,9:00,16.3,22.6,40,37
842,4/28/19,9:00,15.6,22.7,42,36
842,4/29/19,9:00,15.9,23.1,37,37
842,4/30/19,9:00,16.6,23.9,36,40
842,5/1/19,9:00,17.1,24.5,28,43
842,5/2/19,9:00,17.2,24.6,36,41
842,5/3/19,9:00,17.2,24.6,40,40
842,5/4/19,9:00,17.2,24.6,43,38
842,5/5/19,9:00,16.8,24.6,44,36
842,5/6/19,9:00,16.1,24.6,47,35
842,5/7/19,9:00,15.6,24.6,46,34
842,5/8/19,9:00,15.1,24.6,37,33
842,5/9/19,9:00,15.4,25.1,29,37
842,5/10/19,9:00,15.8,25.5,38,35
842,5/11/19,9:00,16,25.7,38,36
842,5/12/19,9:00,15.9,25.7,45,33
842,5/13/19,9:00,15.4,25.7,48,33
842,5/14/19,9:00,14.7,25.7,54,30
842,5/15/19,9:00,13.5,25.8,52,29
842,5/16/19,9:00,12.6,25.7,54,26
842,5/17/19,9:00,11.4,25.9,36,23
842,5/18/19,9:00,11.4,25.9,32,26
842,5/19/19,9:00,11.7,26,44,25
842,5/20/19,9:00,11.6,26.1,34,23
842,5/21/19,9:00,13.1,27.7,30,41
842,5/22/19,9:00,13.7,28.2,33,39
842,5/23/19,9:00,13.7,28.3,43,35
842,5/24/19,9:00,14.1,28.7,37,34
842,5/25/19,9:00,13.9,28.7,49,32
842,5/26/19,9:00,13.6,28.7,54,30
842,5/27/19,9:00,12.9,28.8,46,27
842,5/28/19,9:00,12.7,29.1,30,30
842,5/29/19,9:00,13.2,29.6,38,31
842,5/30/19,9:00,13.3,29.7,45,27
842,5/31/19,9:00,12.9,29.6,50,27
842,6/1/19,9:00,12.1,29.7,57,25
842,6/2/19,9:00,11.3,29.7,56,22
842,6/3/19,9:00,10.6,29.7,55,20
842,6/4/19,9:00,9.7,29.7,55,16
842,6/5/19,9:00,8.3,29.7,54,15
842,6/6/19,9:00,7,29.7,55,11
842,6/7/19,9:00,5.1,29.8,55,6
842,6/8/19,9:00,3.5,29.8,55,4
842,6/9/19,9:00,1.9,29.9,41,2
842,6/10/19,9:00,1.1,29.7,52,0
842,6/11/19,9:00,0.5,29.8,50,-99.9
842,6/12/19,9:00,0.4,29.8,52,-99.9
842,6/13/19,9:00,0.3,29.8,57,-99.9
842,6/14/19,9:00,0.3,29.8,55,-1
842,6/15/19,9:00,0.3,29.9,52,-99.9
842,6/16/19,9:00,0.3,29.9,55,-99.9
842,6/17/19,9:00,0.3,30,54,-99.9
842,6/18/19,9:00,0.2,30.1,41,0
842,6/19/19,9:00,0.3,30.5,49,-99.9
842,6/20/19,9:00,0.3,30.4,55,-99.9
842,6/21/19,9:00,0.3,30.6,38,0
842,6/22/19,9:00,0.3,31,46,-1
842,6/23/19,9:00,0.4,31.6,32,3
842,6/24/19,9:00,0.3,31.7,49,0
842,6/25/19,9:00,0.3,31.6,58,-1
842,6/26/19,9:00,0.3,31.6,60,-99.9
842,6/27/19,9:00,0.3,31.5,60,-1
842,6/28/19,9:00,0.3,31.5,64,-99.9
842,6/29/19,9:00,0.2,31.5,62,-1
842,6/30/19,9:00,0.2,31.4,62,-2
842,7/1/19,9:00,0.2,31.9,59,-1
842,7/2/19,9:00,0.2,31.9,55,-2
842,7/3/19,9:00,0.2,31.9,62,-2
842,7/4/19,9:00,-99.9,31.9,62,-2
842,7/5/19,9:00,-99.9,31.9,63,-3
842,7/6/19,9:00,-99.9,31.9,62,-2
842,7/7/19,9:00,-99.9,31.9,60,-1
842,7/8/19,9:00,-99.9,32.4,46,0
842,7/9/19,9:00,-99.9,32.5,56,-1
842,7/10/19,9:00,-99.9,32.5,62,-1
842,7/11/19,9:00,-99.9,32.4,66,-2
842,7/12/19,9:00,-99.9,32.3,66,-4
842,7/13/19,9:00,-99.9,32.3,68,-1
842,7/14/19,9:00,-99.9,32.4,61,-2
842,7/15/19,9:00,-99.9,32.4,68,-2
842,7/16/19,9:00,-99.9,32.4,67,-3
842,7/17/19,9:00,-99.9,32.4,64,-2
842,7/18/19,9:00,-99.9,32.4,64,-3
842,7/19/19,9:00,0.2,32.4,65,-3
842,7/20/19,9:00,0.2,32.3,62,-2
842,7/21/19,9:00,0.2,32.7,65,-1
842,7/22/19,9:00,0.2,32.6,65,-1
842,7/23/19,9:00,0.2,32.6,63,-1
842,7/24/19,9:00,0.2,32.6,63,-2
842,7/25/19,9:00,0.2,32.8,58,-4
842,7/26/19,9:00,0.2,32.7,62,-3
842,7/27/19,9:00,0.2,32.7,62,-1
842,7/28/19,9:00,0.2,32.8,57,-2
842,7/29/19,9:00,0.2,32.7,64,0
842,7/30/19,9:00,0.2,32.9,63,-1
842,7/31/19,9:00,0.2,32.8,64,-1
842,8/1/19,9:00,0.2,33,52,-99.9
842,8/2/19,9:00,0.2,33,60,-99.9
842,8/3/19,9:00,0.3,32.9,66,-99.9
842,8/4/19,9:00,0.2,32.9,64,-99.9
842,8/5/19,9:00,0.2,33.3,60,0
842,8/6/19,9:00,0.3,33.3,64,-1
842,8/7/19,9:00,0.2,33.3,62,-1
842,8/8/19,9:00,0.2,33.4,60,-1
842,8/9/19,9:00,0.3,33.6,61,-99.9
842,8/10/19,9:00,0.2,33.7,57,-99.9
842,8/11/19,9:00,0.2,33.7,53,-1
842,8/12/19,9:00,0.2,34,58,-99.9
842,8/13/19,9:00,0.2,34,61,-1
842,8/14/19,9:00,0.2,34,62,0
842,8/15/19,9:00,0.3,34,63,-1
842,8/16/19,9:00,0.3,34,64,-99.9
842,8/17/19,9:00,0.2,34,62,-99.9
842,8/18/19,9:00,0.2,34,63,-1
842,8/19/19,9:00,0.2,34,65,-99.9
842,8/20/19,9:00,-99.9,34,67,-99.9
842,8/21/19,9:00,-99.9,33.9,65,-99.9
842,8/22/19,9:00,0.2,33.9,66,-1
842,8/23/19,9:00,0.2,34,60,0
842,8/24/19,9:00,0.2,34.1,58,0
842,8/25/19,9:00,0.3,34,63,-1
842,8/26/19,9:00,0.3,34,61,0
842,8/27/19,9:00,0.2,34.1,56,-1
842,8/28/19,9:00,0.3,34.1,61,-1
842,8/29/19,9:00,0.3,34,61,0
842,8/30/19,9:00,0.3,34,61,-1
842,8/31/19,9:00,0.3,34,64,0
842,9/1/19,9:00,0.3,33.9,66,-99.9
842,9/2/19,9:00,0.2,34,69,-1
842,9/3/19,9:00,0.2,33.9,67,-1
842,9/4/19,9:00,0.2,33.9,66,-99.9
842,9/5/19,9:00,0.3,33.9,65,-99.9
842,9/6/19,9:00,0.3,34,66,-1
842,9/7/19,9:00,0.3,34.4,56,-1
842,9/8/19,9:00,0.3,34.4,64,-1
842,9/9/19,9:00,0.3,34.9,52,-1
842,9/10/19,9:00,0.3,34.8,55,0
842,9/11/19,9:00,0.2,34.9,51,0
842,9/12/19,9:00,0.2,35,44,0
842,9/13/19,9:00,0.3,35,54,0
842,9/14/19,9:00,0.3,34.9,56,-1
842,9/15/19,9:00,0.3,34.9,60,-1
842,9/16/19,9:00,0.2,35,52,-1
842,9/17/19,9:00,0.2,34.9,52,-1
842,9/18/19,9:00,0.3,34.9,56,-99.9
842,9/19/19,9:00,0.3,34.9,58,-1
842,9/20/19,9:00,0.3,34.9,57,-99.9
842,9/21/19,9:00,0.2,35,48,0
842,9/22/19,9:00,0.2,35.1,46,0
842,9/23/19,9:00,0.3,35,53,0
842,9/24/19,9:00,0.3,35,50,-1
842,9/25/19,9:00,0.3,35,55,-1
842,9/26/19,9:00,0.3,35,58,-99.9
842,9/27/19,9:00,0.3,35,54,-99.9
842,9/28/19,9:00,0.3,35.2,56,-99.9
842,9/29/19,9:00,0.3,35.1,55,-99.9
842,9/30/19,9:00,0.3,35.2,54,-1
842,10/1/19,9:00,0.3,0,57,-99.9
842,10/2/19,9:00,0.2,0.1,43,0
842,10/3/19,9:00,0.2,0.1,51,0
842,10/4/19,9:00,0.3,0,54,-1
842,10/5/19,9:00,0.2,0.2,40,0
